state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	0.020	0.020	0.020	0	0	0.000	0.014	4.011	4.85	-1135.36	-0.00	0.00
200	0.019	0.019	0.019	0	0	0.000	0.021	4.011	4.98	-1135.36	0.00	-6.85
300	0.014	0.014	0.014	0	1	1.099	0.030	4.011	9.30	-1136.40	1.04	0.00
400	0.014	0.014	0.014	0	1	0.433	0.028	4.011	10.11	-1136.40	-0.69	0.00
500	0.016	0.016	0.016	0	2	0.149	0.021	4.011	10.40	-1137.09	0.00	0.00
600	0.015	0.015	0.015	0	2	0.249	0.018	4.014	10.82	-1137.09	0.00	0.00
700	0.015	0.015	0.015	0	1	0.182	0.012	4.014	10.05	-1136.40	-0.00	0.00
800	0.012	0.012	0.012	0	2	1.021	0.017	4.014	19.98	-1137.10	0.00	0.00
900	0.010	0.010	0.010	0	2	0.467	0.012	3.930	19.45	-1137.09	0.00	-0.32
1000	0.016	0.016	0.016	0	3	0.984	0.013	4.056	19.45	-1137.50	-0.00	0.00
1100	0.012	0.012	0.012	0	3	0.312	0.023	4.056	18.38	-1137.50	0.00	-7.32
1200	0.012	0.012	0.012	0	5	0.243	0.023	4.056	19.43	-1138.01	0.00	0.00
1300	0.009	0.009	0.009	0	6	0.514	0.036	3.954	14.16	-1138.20	0.00	0.00
1400	0.014	0.014	0.014	0	4	0.465	0.038	3.963	15.86	-1137.79	0.29	0.00
1500	0.009	0.009	0.009	0	2	0.280	0.033	3.963	18.52	-1137.09	-0.41	0.00
1600	0.011	0.011	0.011	0	2	0.901	0.044	3.963	18.90	-1137.10	-0.00	0.00
1700	0.011	0.011	0.011	0	2	0.385	0.029	3.963	19.75	-1137.09	0.00	0.00
1800	0.012	0.012	0.012	0	3	0.236	0.037	3.963	18.60	-1137.50	0.00	0.00
1900	0.014	0.014	0.014	0	3	0.846	0.037	3.929	19.31	-1137.50	-0.00	0.00
2000	0.013	0.013	0.013	0	3	1.339	0.037	3.929	19.77	-1137.50	0.00	0.00
2100	0.011	0.011	0.011	0	2	4.883	0.028	3.929	18.13	-1137.11	0.70	0.00
2200	0.011	0.011	0.011	0	4	3.920	0.028	3.929	13.56	-1137.81	-0.23	0.00
2300	0.009	0.009	0.009	0	2	1.712	0.001	3.929	18.54	-1137.10	0.00	0.00
2400	0.013	0.013	0.013	0	2	3.091	0.001	3.929	18.90	-1137.10	-0.41	0.00
2500	0.012	0.012	0.012	0	2	5.463	0.002	3.929	18.61	-1137.11	0.00	-0.02
2600	0.014	0.014	0.014	0	2	6.748	0.002	3.929	17.92	-1137.11	0.70	0.00
2700	0.010	0.010	0.010	0	2	16.799	0.004	3.929	17.27	-1137.14	0.00	0.00
2800	0.010	0.010	0.010	0	4	42.855	0.004	3.997	11.30	-1138.00	0.00	0.00
2900	0.012	0.012	0.012	0	2	129.618	0.008	3.997	15.78	-1137.48	-0.10	0.31
3000	0.010	0.010	0.010	0	2	49.197	0.008	3.997	16.33	-1137.24	0.02	-0.15
3100	0.012	0.012	0.012	0	2	35.607	0.004	4.136	15.59	-1137.20	-0.00	0.00
3200	0.010	0.010	0.010	0	2	59.879	0.004	4.136	14.32	-1137.27	0.00	0.00
3300	0.010	0.010	0.010	0	2	60.587	0.019	4.032	16.02	-1137.28	0.75	0.00
3400	0.014	0.014	0.014	0	2	87.450	0.019	4.081	14.70	-1137.36	0.00	-7.12
3500	0.013	0.013	0.013	0	2	77.028	0.006	4.023	15.96	-1137.32	0.00	-7.20
3600	0.012	0.012	0.012	0	2	116.892	0.009	4.023	15.82	-1137.44	0.00	0.00
3700	0.012	0.012	0.012	0	3	97.971	0.010	4.023	14.74	-1137.89	-0.39	0.00
3800	0.009	0.009	0.009	0	2	105.482	0.013	3.950	14.02	-1137.41	0.00	0.00
3900	0.013	0.013	0.013	0	2	170.043	0.042	3.905	13.44	-1137.60	-0.58	0.00
