state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
500	0.014	0.615	0.014	1	0	0.000	0.006	3.845	10.65	-1135.73	-0.00	-0.69
1000	0.020	0.299	0.020	1	0	0.000	0.029	4.198	7.25	-1135.73	0.00	0.00
1500	0.019	0.469	0.019	1	0	0.000	0.007	3.901	10.65	-1135.73	-0.00	-0.69
2000	0.019	1.144	0.019	1	0	0.000	0.019	4.020	8.84	-1135.73	-0.00	-0.69
2500	0.015	0.249	0.015	1	0	0.000	0.008	4.003	13.48	-1135.73	-0.00	0.10
3000	0.017	0.237	0.017	1	0	0.000	0.012	3.985	11.41	-1135.73	0.00	0.00
3500	0.017	0.358	0.017	1	0	0.000	0.009	4.171	11.95	-1135.73	-0.10	0.00
4000	0.018	0.018	0.018	0	0	0.000	0.021	4.018	5.02	-1135.36	0.00	0.00
4500	0.020	0.020	0.020	0	0	0.000	0.006	3.975	4.75	-1135.36	0.00	0.00
5000	0.021	0.021	0.021	0	0	0.000	0.020	3.924	3.95	-1135.36	0.00	-6.73
5500	0.019	0.609	0.019	1	0	0.000	0.031	3.901	9.66	-1135.73	-0.08	0.00
6000	0.012	0.157	0.012	1	0	0.000	0.024	4.168	11.98	-1135.73	-0.00	-0.69
6500	0.011	0.875	0.011	2	0	0.000	0.005	4.020	14.75	-1136.79	-0.02	0.00
7000	0.009	0.265	0.009	2	0	0.000	0.001	4.020	15.96	-1136.79	-0.00	0.00
7500	0.018	0.238	0.018	1	0	0.000	0.001	4.154	10.76	-1135.73	0.00	-6.96
8000	0.015	0.464	0.015	1	0	0.000	0.002	4.084	13.38	-1135.73	0.00	-7.12
8500	0.012	0.277	0.012	1	0	0.000	0.002	4.084	12.12	-1135.73	0.00	-7.33
9000	0.014	0.114	0.014	1	0	0.000	0.002	3.960	11.39	-1135.73	-0.00	-0.69
9500	0.017	1.609	0.017	1	0	0.000	0.005	3.960	2.98	-1135.73	-0.01	-0.69
10000	0.012	3.019	0.012	2	0	0.000	0.012	3.928	9.80	-1136.79	0.00	-7.34
10500	0.019	4.442	0.019	2	0	0.000	0.015	4.164	8.95	-1136.79	-0.00	0.28
11000	0.017	1.305	0.017	2	0	0.000	0.034	3.998	10.41	-1136.79	-0.05	0.00
11500	0.017	2.508	0.017	2	0	0.000	0.032	4.147	8.70	-1136.79	0.00	0.00
12000	0.014	1.346	0.014	1	0	0.000	0.005	4.021	13.01	-1135.73	-0.01	0.00
12500	0.017	0.843	0.017	1	0	0.000	0.003	4.121	12.31	-1135.73	-0.00	0.12
13000	0.019	0.019	0.019	0	0	0.000	0.013	4.009	5.07	-1135.36	-0.00	0.00
13500	0.013	1.865	0.013	1	0	0.000	0.011	4.211	10.62	-1135.73	-0.00	-0.69
14000	0.012	2.810	0.012	1	0	0.000	0.008	3.940	10.97	-1135.73	-0.01	-0.69
14500	0.013	2.975	0.013	2	0	0.000	0.048	4.040	8.91	-1136.79	0.00	-7.24
15000	0.013	7.053	0.013	2	0	0.000	0.024	3.926	7.45	-1136.79	-0.00	0.44
15500	0.014	8.256	0.014	2	0	0.000	0.006	3.889	8.99	-1136.79	-0.00	0.00
16000	0.018	15.397	0.018	1	0	0.000	0.018	4.034	10.86	-1135.74	0.00	-0.58
16500	0.013	31.700	0.013	1	0	0.000	0.032	4.034	8.80	-1135.82	0.00	-0.20
17000	0.016	60.218	0.016	1	0	0.000	0.008	4.009	8.58	-1135.91	-0.05	0.00
17500	0.017	312.133	0.017	1	0	0.000	0.028	4.101	9.13	-1136.04	-0.62	-0.69
18000	0.016	90.689	0.016	1	0	0.000	0.037	4.157	9.15	-1135.82	0.00	-6.99
18500	0.016	73.404	0.016	1	0	0.000	0.028	3.906	9.38	-1135.80	-0.01	0.00
19000	0.018	126.180	0.018	1	0	0.000	0.005	4.066	10.13	-1135.85	-0.25	-0.69
19500	0.012	39.775	0.012	1	0	0.000	0.041	4.172	6.47	-1135.84	-0.08	0.00
20000	0.013	15.680	0.013	1	0	0.000	0.016	3.941	9.22	-1135.77	0.03	0.69
